"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
3498610,3498610,"CC","1",2012-10-31,2015-10-31
7062725,7062725,"CC","1",2012-10-01,2015-10-01
7062725,7062725,"CC","1",2012-05-10,2015-05-10
11231069,11231069,"CC","1",2010-02-24,2013-02-24
13654847,13654847,"CC","4",2021-08-03,2041-08-03
6195857,6195857,"CC","3",2013-12-30,2018-12-30
1794518,1794518,"CC","4",2006-12-09,2026-12-09
11573797,11573797,"CC","2",2004-08-13,2009-08-13
3941337,3941337,"CC","1",2006-06-13,2009-06-13
6257900,6257900,"CC","1",2007-12-04,2010-12-04
7447391,7447391,"CC","1",2001-01-13,2004-01-13
1730024,1730024,"CC","1",2006-08-14,2009-08-14
7062725,7062725,"CC","4",2011-05-31,2031-05-31
7062725,7062725,"CC","2",1998-04-23,2003-04-23
7062725,7062725,"CC","2",1998-04-23,2003-04-23
18625785,18625785,"CC","2",1998-01-29,2003-01-29
5399673,5399673,"CC","1",2004-10-12,2007-10-12
6272109,6272109,"CC","1",2001-07-21,2004-07-21
7062725,7062725,"CC","2",2010-10-13,2015-10-13
7062725,7062725,"CC","2",2010-10-13,2015-10-13
3498610,3498610,"CC","1",2012-09-18,2015-09-18
11573797,11573797,"CC","4",2017-12-04,2020-12-04
3647877,3647877,"CC","0",2001-07-03,2006-07-03
13602342,13602342,"CC","4",2001-03-26,2011-03-26
10519655,10519655,"CC","2",2012-10-31,2017-10-31
9594981,9594981,"CC","1",2002-08-07,2005-08-07
18444871,18444871,"CC","0",2001-04-04,2006-04-04
7062725,7062725,"CC","3",1997-01-15,2002-01-15
7062725,7062725,"CC","3",1995-01-23,2000-01-23
9978239,9978239,"CC","1",2007-04-04,2010-04-04
18913824,18913824,"CC","2",2009-09-30,2014-09-30
11573797,11573797,"CC","4",2014-01-20,2024-01-20
19294997,19294997,"CC","1",2015-02-06,2018-02-06
13602342,13602342,"CC","1",1998-11-27,2001-11-27
7506988,7506988,"CC","2",1998-08-18,2003-08-18
18625785,18625785,"CC","2",1998-06-30,2003-06-30
16250422,16250422,"CC","1",2017-10-02,2020-10-02
7062725,7062725,"CC","2",1998-06-30,2003-06-30
9978239,9978239,"CC","4",1999-11-17,2019-11-17
19126115,19126115,"CC","1",1997-01-21,2000-01-21
10317261,10317261,"CC","4",2009-10-27,2019-10-27
6257900,6257900,"CC","3",2005-01-22,2010-01-22
9733595,9733595,"CC","1",2002-07-23,2007-07-23
8103410,8103410,"CC","1",2005-03-03,2008-03-03
7062725,7062725,"CC","1",2004-06-15,2007-06-15
7604216,7604216,"CC","1",2004-10-06,2007-10-06
19073528,19073528,"CC","1",2003-12-12,2006-12-12
18484612,18484612,"CC","2",2010-10-13,2015-10-13
10950330,10950330,"CC","2",1992-02-23,1997-02-23
5338227,5338227,"CC","1",2001-11-07,2004-11-07
4642272,4642272,"CC","1",2002-01-30,2005-01-30
9716257,9716257,"CC","4",2011-02-17,2014-02-17
5454084,5454084,"CC","2",1996-06-20,2001-06-20
9978239,9978239,"CC","4",2002-05-10,2005-05-10
1655708,1655708,"CC","1",2001-08-11,2004-08-11
1110178,1110178,"CC","1",1999-12-29,2002-12-29
9978239,9978239,"CC","4",1998-04-11,2008-04-11
9978239,9978239,"CC","4",2003-01-29,2013-01-29
14697145,14697145,"CC","1",2003-01-29,2006-01-29
15645295,15645295,"CC","3",2004-10-29,2009-10-29
7062725,7062725,"CC","1",2003-04-09,2006-04-09
7062725,7062725,"CC","1",2003-04-09,2006-04-09
12130205,12130205,"CC","3",2004-06-03,2009-06-03
7062725,7062725,"CC","2",2014-08-31,2019-08-31
7062725,7062725,"CC","1",2017-09-01,2020-09-01
19104656,19104656,"CC","4",2022-01-24,2042-01-24
1730024,1730024,"CC","1",2005-08-24,2008-08-24
